識別番号,分野,頻出度,言葉,読み,文章,漢字1,読み1,漢字2,読み2
1068,b訓読み,C,牡蠣,かき,牡蠣は冬がおいしいといわれる。,牡蠣,かき,X,X
1069,b訓読み,C,邑,むら,その邑は直轄地だった。,邑,むら,X,X
1070,b訓読み,C,蓋う,おおう,球場は熱気に蓋われていた。,蓋,おお,X,う
1071,b訓読み,C,拳,こぶし,拳を上げて喜びを表現する。,拳,こぶし,X,X
1072,b訓読み,C,拭う,ぬぐう,汗を拭って作業を続けた。,拭,ぬぐ,X,う
1073,b訓読み,C,僻む,ひがむ,兄ばかり褒められ弟が僻む。,僻,ひが,X,む
1074,b訓読み,C,襖,ふすま,過って襖を破いてしまった。,襖,ふすま,X,X
1075,b訓読み,C,迺ち,すなわち,迺ち復変じて一と為る。,迺,すなわ,X,ち
1076,b訓読み,C,翫ぶ,もてあそぶ,人の気持ちを翫ぶな。,翫,もてあそ,X,ぶ
1077,b訓読み,C,瀞,とろ,川の瀞でいかだ遊びを楽しむ。,瀞,とろ,X,X
1078,b訓読み,C,荊,いばら,彼の一生は荊の道であった。,荊,いばら,X,X
1079,b訓読み,C,凧糸,たこいと,凧糸を竹に巻き付ける。,凧糸,たこいと,X,X
1080,b訓読み,C,耽,る,図書館にこもって読書に耽る。,耽,る,X,X
1081,b訓読み,C,叢,むら,山肌に木々が叢立っている。,叢,むら,X,X
1082,b訓読み,C,沓石,くついし,沓石の上に柱を立てる。,沓石,くついし,X,X
1083,b訓読み,C,真菰,まこも,田んぼの水路に真菰が自生する。,真菰,まこも,X,X
1084,b訓読み,C,奄ち,たちまち,奄ちうわさが広まった。,奄,たちま,X,ち
1085,b訓読み,C,湊まる,あつまる,支流が盆地に湊まる。,湊,あつ,X,まる
1086,b訓読み,C,須つ,まつ,学思行相須つ。,須,ま,X,つ
1087,b訓読み,C,頻り,しきり,頻りに催促の電話が掛かってくる。,頻,しき,X,り
1088,b訓読み,C,偶,たまたま,道で偶旧友に会った。,偶,たまたま,X,X
1089,b訓読み,C,抑,そもそも,抑それは可能なのだろうか。,抑,そもそも,X,X
1090,b訓読み,C,転た,うたた,転た同情の念に堪えない。,転,うた,X,た
1091,b訓読み,C,納れる,いれる,縁先で涼を納れる。,納,い,X,れる
1092,b訓読み,C,禦ぐ,ふせぐ,延焼による被害の拡大を禦ぐ。,禦,ふせ,X,ぐ
1093,b訓読み,C,嘗て,かつて,未だ嘗て聞いたことがない。,嘗,かつ,X,て
1094,b訓読み,C,凡そ,およそ,学校からは凡そ五百メートルだ。,凡,およ,X,そ
1095,b訓読み,D,苛立つ,いらだつ,煮え切らない態度に苛立つ。,苛立,いらだ,X,つ
1096,b訓読み,D,袖,そで,役人に対して袖の下を使う。,袖,そで,X,X
1097,b訓読み,D,畏まる,かしこまる,学長の前に出て思わず畏まる。,畏,かしこ,X,まる
1098,b訓読み,D,掬う,すくう,夏まつりで金魚掬いを楽しんだ。,掬,すく,X,う
1099,b訓読み,D,縦縞,たてしま,青い縦縞のワイシャツを着る。,縦縞,たてしま,X,X
1100,b訓読み,D,山鉾,やまほこ,京の街を山鉾が巡行する。,山鉾,やまほこ,X,X
1101,b訓読み,D,猶,なお,今猶達者に暮らす。,猶,なお,X,X
1102,b訓読み,D,窃か,ひそか,窃かに物を盗む。,窃,ひそ,X,か
1103,b訓読み,D,太だ,はなはだ,太だ迷惑している。,太,はなは,X,だ
1104,b訓読み,D,仮令,たとい,仮令高くても買う。,仮令,たとい,X,X
1105,b訓読み,D,如く,しく,巧詐は拙誠に如かず。,如,し,X,く
1106,b訓読み,D,縮緬,ちりめん,縮緬の羽織を着る。,縮緬,ちりめん,X,X
1107,b訓読み,D,趨る,はしる,極端に趨る。,趨,はし,X,る
1108,b訓読み,D,購う,あがなう,商店で日用品を購う。,購,あがな,X,う
1109,b訓読み,D,彊い,つよい,国を彊くする。,彊,つよ,X,い
1110,b訓読み,D,梢,こずえ,梢を切り落とす。,梢,こずえ,X,X
1111,b訓読み,D,耀く,かがやく,月が青白く耀く。,耀,かがや,X,く
1112,b訓読み,D,艶かしい,なまめかしい,和装が艶かしい。,艶,なまめ,X,かしい
1113,b訓読み,D,栃,とち,栃の実の灰汁を抜く。,栃,とち,X,X
1114,b訓読み,D,称える,となえる,異議を称える。,称,とな,X,える
1115,b訓読み,D,黄昏,たそがれ,黄昏時に帰途に就く。,黄昏,たそがれ,X,X
1116,b訓読み,D,浅葱,あさぎ,浅葱色の服を着る。,浅葱,あさぎ,X,X
1117,b訓読み,D,殿,しんがり,部隊の殿を務める。,殿,しんがり,X,X
1118,b訓読み,D,錫,すず,錫を産出する。,錫,すず,X,X
1119,b訓読み,D,鎖す,とざす,国を長く鎖す。,鎖,とざ,X,す
1120,b訓読み,D,鯛,たい,えびで鯛を釣る。,鯛,たい,X,X
1121,b訓読み,D,弁える,わきまえる,己の立場を弁える。,弁,わきま,X,える
1122,b訓読み,D,均す,ならす,荒れた地面を均す。,均,なら,X,す
1123,b訓読み,D,蝦蔓,えびづる,蝦蔓の実が完熟する。,蝦蔓,えびづる,X,X
1124,b訓読み,D,漁る,あさる,書物を読み漁る。,漁,あさ,X,る
1125,b訓読み,D,鋤鍬,すきくわ,鋤鍬で開墾する。,鋤鍬,すきくわ,X,X
1126,b訓読み,D,理,ことわり,諸行無常の理。,理,ことわり,X,X
1127,b訓読み,D,嵩高,かさだか,嵩高に物を言う。,嵩高,かさだか,X,X
1128,b訓読み,D,千尋,ちひろ,千尋の谷底に落ちる。,千尋,ちひろ,X,X
1129,b訓読み,D,栽培,さいばい,椎茸を栽培する。,栽培,さいばい,X,X
1130,b訓読み,D,冠る,かむる,新調した帽子を冠る。,冠,かむ,X,る
1131,b訓読み,D,藁,わら,藁にもすがる思い。,藁,わら,X,X
1132,b訓読み,D,只管,ひたすら,只管無事を祈る。,只管,ひたすら,X,X
1133,b訓読み,D,碍げる,さまたげる,発展を碍げる。,碍,さまた,X,げる
1134,b訓読み,D,屍,しかばね,屍を人前にさらす。,屍,しかばね,X,X
1135,b訓読み,D,鈍,にび,鈍色の雲に覆われる。,鈍,にび,X,X
1136,b訓読み,D,兜,かぶと,兜の緒を締める。,兜,かぶと,X,X
1137,b訓読み,D,蒲,がま,蒲が生い茂る。,蒲,がま,X,X
1138,b訓読み,D,努努,ゆめゆめ,努努油断するな。,努努,ゆめゆめ,X,X
1139,b訓読み,D,見窄らしい,みすぼらしい,見窄らしい家に住む。,見窄,みすぼ,X,らしい
1140,b訓読み,D,箆太い,のぶとい,箆太い声が響く。,箆太,のぶと,X,い
1141,b訓読み,D,態,わざ,態と見ぬふりをした。,態,わざ,X,X
1142,b訓読み,D,申年,さるどし,息子は申年生まれだ。,申年,さるどし,X,X
1143,b訓読み,D,瑞垣,みずがき,瑞垣を巡らす。,瑞垣,みずがき,X,X
1144,b訓読み,D,利鎌,とがま,利鎌を振り下ろす。,利鎌,とがま,X,X
1145,b訓読み,D,交,こもごも,内憂外患交至る。,交,こもごも,X,X
1146,b訓読み,D,沫雪,あわゆき,沫雪が深々と降る。,沫雪,あわゆき,X,X
1147,b訓読み,D,件,くだん,よって件の如し。,件,くだん,X,X
1148,b訓読み,D,愛弟子,まなでし,愛弟子に説諭する。,愛弟子,まなでし,X,X
1149,b訓読み,D,紙撚,こより,書類を紙撚で綴じる。,紙撚,こより,X,X
1150,b訓読み,D,?る,かじる,猿が林檎を?る。,?,かじ,X,る
1151,b訓読み,D,蔦,つた,壁一面に蔦が這う。,蔦,つた,X,X
1152,b訓読み,D,妄り,みだり,妄りに立ち入るな。,妄,みだ,X,り
1153,b訓読み,D,隼,はやぶさ,隼が獲物を狙う。,隼,はやぶさ,X,X
1154,b訓読み,D,肋骨,ろっこつ,事故で肋骨が折れる。,肋骨,ろっこつ,X,X
1155,b訓読み,D,焦れる,じれる,車が進まず焦れる。,焦,じ,X,れる
1156,b訓読み,D,雅やか,みやびやか,雅やかな格好をする。,雅,みやび,X,やか
1157,b訓読み,D,真鰯,まいわし,真鰯を塩焼きにする。,真鰯,まいわし,X,X
1158,b訓読み,D,畦道,あぜみち,畦道を歩いて帰る。,畦道,あぜみち,X,X
1159,b訓読み,D,塞ぐ,ふさぐ,落石で道を塞ぐ。,塞,ふさ,X,ぐ
1160,b訓読み,D,曳く,ひく,尾を途中に曳く。,曳,ひ,X,く
1161,b訓読み,D,楢,なら,楢を切り倒す。,楢,なら,X,X
1162,b訓読み,D,解れる,ほぐれる,旅で気分が解れる。,解,ほぐ,X,れる
1163,b訓読み,D,顕れる,あらわれる,不正が顕れる。,顕,あらわ,X,れる
1164,b訓読み,D,緊める,しめる,気を緊めて着手する。,緊,し,X,める
1165,b訓読み,D,薦被り,こもかぶり,薦被りを奉納する。,薦被,こもかぶ,X,り
1166,b訓読み,D,鞭つ,むちうつ,老骨に鞭つ。,鞭,むちう,X,つ
1167,b訓読み,D,杭,くい,境界線に杭を打つ。,杭,くい,X,X
1168,b訓読み,D,糠,ぬか,野菜を糠に漬ける。,糠,ぬか,X,X
1169,b訓読み,D,萌黄,もえぎ,萌黄色に布を染める。,萌黄,もえぎ,X,X
1170,b訓読み,D,一片,ひとひら,一片の花びらが舞う。,一片,ひとひら,X,X
1171,b訓読み,D,漫ろ,そぞろ,漫ろに歩く。,漫,そぞ,X,ろ
1172,b訓読み,D,裳着,もぎ,裳着の式を行う。,裳着,もぎ,X,X
1173,b訓読み,D,黍餅,きびもち,黍餅を振る舞う。,黍餅,きびもち,X,X
1174,b訓読み,D,某,なにがし,某かの金が必要だ。,某,なにがし,X,X
1175,b訓読み,D,漑ぐ,そそぐ,乾いた畑に水を漑ぐ。,漑,そそ,X,ぐ
1176,b訓読み,D,蹴鞠,けまり,園庭で蹴鞠を楽しむ。,蹴鞠,けまり,X,X
1177,b訓読み,D,谷まる,きわまる,進退谷まる。,谷,きわ,X,まる
1178,b訓読み,D,妖しい,あやしい,妖しい魅力がある。,妖,あや,X,しい
1179,b訓読み,D,懐く,いだく,相手に不信感を懐く。,懐,いだ,X,く
1180,b訓読み,D,摸る,さぐる,暗闇の中で摸る。,摸,さぐ,X,る
1181,b訓読み,D,椋鳥,むくどり,椋鳥が群がっている。,椋鳥,むくどり,X,X
1182,b訓読み,D,立蔀,たてじとみ,部屋に立蔀を立てる。,立蔀,たてじとみ,X,X
1183,b訓読み,D,沓巻,くつまき,柱を沓巻で飾る。,沓巻,くつまき,X,X
1184,b訓読み,D,一廉,ひとかど,一廉の人物だ。,一廉,ひとかど,X,X
1185,b訓読み,D,徒疎か,あだおろそか,徒疎かにはできない。,徒疎,あだおろそ,X,か
1186,b訓読み,D,笹舟,ささぶね,笹舟を水に浮かべる。,笹舟,ささぶね,X,X
1187,b訓読み,D,設える,しつらえる,一時避難所を設える。,設,しつら,X,える
1188,b訓読み,D,慮る,おもんぱかる,被害者の苦境を慮る。,慮,おもんぱか,X,る
1189,b訓読み,D,択ぶ,えらぶ,良禽は樹を択ぶ。,択,えら,X,ぶ
1190,b訓読み,D,挙って,こぞって,挙って参加する。,挙,こぞ,X,って
1191,b訓読み,D,神楽,かぐら,神楽を奉納する。,神楽,かぐら,X,X
1192,b訓読み,D,蝦根,えびね,蝦根が自生する。,蝦根,えびね,X,X
1193,b訓読み,D,笹身,ささみ,笹身に下味を付ける。,笹身,ささみ,X,X
1194,b訓読み,D,四阿,あずまや,四阿で一服する。,四阿,あずまや,X,X
1195,b訓読み,D,鮫,さめ,鮫をもりで捕らえる。,鮫,さめ,X,X
1196,b訓読み,D,享ける,うける,この世に生を享ける。,享,う,X,ける
1197,b訓読み,D,窟,いわや,窟に獣が棲む。,窟,いわや,X,X
1198,b訓読み,D,扱く,しごく,先輩から扱かれる。,扱,しご,X,く
1199,b訓読み,D,真榊,まさかき,真榊を奉納する。,真榊,まさかき,X,X
1200,b訓読み,D,鏑矢,かぶらや,鏑矢を放つ。,鏑矢,かぶらや,X,X
1201,b訓読み,D,蓋物,ふたもの,蓋物に前菜を盛る。,蓋物,ふたもの,X,X
1202,b訓読み,D,被る,かぶる,布団を被って寝る。,被,かぶ,X,る
1203,b訓読み,D,日向,ひなた,日向で居眠りする。,日向,ひなた,X,X
1204,b訓読み,D,伐る,きる,枯れた老木を伐る。,伐,き,X,る
1205,b訓読み,D,所以,ゆえん,人の人たる所以だ。,所以,ゆえん,X,X
1206,b訓読み,D,辻札,つじふだ,辻札を立てる。,辻札,つじふだ,X,X
1207,b訓読み,D,足?く,あがく,必死に足?く。,足?,あが,X,く
1208,b訓読み,D,種麹,たねこうじ,玄米から種麹を造る。,種麹,たねこうじ,X,X
1209,b訓読み,D,栗鹿子,くりかのこ,茶に栗鹿子を添える。,栗鹿子,くりかのこ,X,X
1210,b訓読み,D,蝦芋,えびいも,蝦芋の煮物を作る。,蝦芋,えびいも,X,X
1211,b訓読み,D,琢く,みがく,職人技を琢く。,琢,みが,X,く
1212,b訓読み,D,倶に,ともに,母と倶に買い物する。,倶,とも,X,に
1213,b訓読み,D,猷る,はかる,仇敵の暗殺を猷る。,猷,はか,X,る
1214,b訓読み,D,崇める,あがめる,天子を神と崇める。,崇,あが,X,める
1215,b訓読み,D,吹螺,ほらがい,山中で吹螺を吹く。,吹螺,ほらがい,X,X
1216,b訓読み,D,路,みち,思慮が浅く路を誤る。,路,みち,X,X
1217,b訓読み,D,詰る,なじる,度重なる失策を詰る。,詰,なじ,X,る
1218,b訓読み,D,悶える,もだえる,激痛に悶える。,悶,もだ,X,える
1219,b訓読み,D,黒橿,くろがし,神社に黒橿が並ぶ。,黒橿,くろがし,X,X
1220,b訓読み,D,羅,うすぎぬ,羅を身に纏う。,羅,うすぎぬ,X,X
1221,b訓読み,D,質す,ただす,関係者に疑点を質す。,質,ただ,X,す
1222,b訓読み,D,鶯,うぐいす,鶯が春を告げる。,鶯,うぐいす,X,X
1223,b訓読み,D,賤しい,いやしい,賤しい身となる。,賤,いや,X,しい
1224,b訓読み,D,鍔際,つばぎわ,絶体絶命の鍔際だ。,鍔際,つばぎわ,X,X
1225,b訓読み,D,辻斬り,つじぎり,辻斬りに遭遇する。,辻斬,つじぎ,X,り
1226,b訓読み,D,茜雲,あかねぐも,茜雲が秋空に耀く。,茜雲,あかねぐも,X,X
1227,b訓読み,D,大凡,おおよそ,大凡の見当は付く。,大凡,おおよそ,X,X
1228,b訓読み,D,黍,きび,黍餅を焼く。,黍,きび,X,X
1229,b訓読み,D,勾玉,まがたま,勾玉が出土する。,勾玉,まがたま,X,X
1230,b訓読み,D,旺ん,さかん,血気旺んな若者だ。,旺,さか,X,ん
1231,b訓読み,D,側,そば,暖炉の側に寄る。,側,そば,X,X
1232,b訓読み,D,寛ぐ,くつろぐ,静かな保養所で寛ぐ。,寛,くつろ,X,ぐ
1233,b訓読み,D,弥栄,いやさか,宗家の弥栄を祈る。,弥栄,いやさか,X,X
1234,b訓読み,D,曲者,くせもの,曲者が忍び込む。,曲者,くせもの,X,X
1235,b訓読み,D,熟す,こなす,手際よく仕事を熟す。,熟,こな,X,す
1236,b訓読み,D,昌ん,さかん,勢いが昌んになる。,昌,さか,X,ん
1237,b訓読み,D,愛でる,めでる,満開の桜を愛でる。,愛,め,X,でる
1238,b訓読み,D,苧殻,おがら,苧殻を焚く。,苧殻,おがら,X,X
1239,b訓読み,D,丙午,ひのえうま,丙午に大火が起こる。,丙午,ひのえうま,X,X
1240,b訓読み,D,御簾,みす,御簾を巻き上げる。,御簾,みす,X,X
1241,b訓読み,D,常闇,とこやみ,常闇に包まれる。,常闇,とこやみ,X,X
1242,b訓読み,D,緒,いとぐち,事件の緒をつかむ。,緒,いとぐち,X,X
1243,b訓読み,D,篠笹,しのざさ,篠笹が茂る。,篠笹,しのざさ,X,X
1244,b訓読み,D,柊,ひいらぎ,庭園に柊を植える。,柊,ひいらぎ,X,X
1245,b訓読み,D,小径,こみち,小径を散歩する。,小径,こみち,X,X
1246,b訓読み,D,斑入り,ふいり,斑入りの花を飾る。,斑入,ふい,X,り
1247,b訓読み,D,蟻,あり,蟻が土に巣穴を作る。,蟻,あり,X,X
1248,b訓読み,D,糠袋,ぬかぶくろ,糠袋で体を洗う。,糠袋,ぬかぶくろ,X,X
1249,b訓読み,D,衿,えり,コートの衿を立てる。,衿,えり,X,X
1250,b訓読み,D,吃る,どもる,ひどく吃る癖がある。,吃,ども,X,る
1251,b訓読み,D,由,よし,知る由もない。,由,よし,X,X
1252,b訓読み,D,括れる,くびれる,瓶の上が括れている。,括,くび,X,れる
1253,b訓読み,D,象る,かたどる,神を象った像を作る。,象,かたど,X,る
1254,b訓読み,D,寝惚ける,ねぼける,寝惚けて蹴つまずく。,寝惚,ねぼ,X,ける
1255,b訓読み,D,葦火,あしび,葦火を焚き暖をとる。,葦火,あしび,X,X
1256,b訓読み,D,朽れる,すたれる,商いが朽れる。,朽,すた,X,れる
1257,b訓読み,D,鯉濃,こいこく,鯉濃を馳走する。,鯉濃,こいこく,X,X
1258,b訓読み,D,気忙しい,きぜわしい,気忙しい年の暮れだ。,気忙,きぜわ,X,しい
1259,b訓読み,D,掌る,つかさどる,福祉行政を掌る。,掌,つかさど,X,る
1260,b訓読み,D,轡虫,くつわむし,轡虫の声が騒々しい。,轡虫,くつわむし,X,X
1261,b訓読み,D,己亥,つちのとい,己亥の年を迎える。,己亥,つちのとい,X,X
1262,b訓読み,D,直,ひた,直向きに努力する。,直,ひた,X,X
1263,b訓読み,D,粥腹,かゆばら,粥腹で力が入らない。,粥腹,かゆばら,X,X
1264,b訓読み,D,鋸屑,のこくず,鋸屑を燃料に用いる。,鋸屑,のこくず,X,X
1265,b訓読み,D,小噺,こばなし,小噺を披露する。,小噺,こばなし,X,X
1266,b訓読み,D,甲斐,かい,苦労の甲斐があった。,甲斐,かい,X,X
1267,b訓読み,D,則る,のっとる,前例に則って決める。,則,のっと,X,る
1268,b訓読み,D,勤しむ,いそしむ,日々研究に勤しむ。,勤,いそ,X,しむ
1269,b訓読み,D,後退り,あとずさり,敵を前に後退りする。,後退,あとずさ,X,り
1270,b訓読み,D,朔,ついたち,朔に市が立つ。,朔,ついたち,X,X
1271,b訓読み,D,髭,くちひげ,起きて髭を剃る。,髭,くちひげ,X,X
1272,b訓読み,D,揃える,そろえる,商品を豊富に揃える。,揃,そろ,X,える
1273,b訓読み,D,柚湯,ゆずゆ,冬至に柚湯に浸かる。,柚湯,ゆずゆ,X,X
1274,b訓読み,D,露,あらわ,企業秘密が露になる。,露,あらわ,X,X
1275,b訓読み,D,野点,のだて,桜の下で野点する。,野点,のだて,X,X
1276,b訓読み,D,厨,くりや,厨で食事を用意する。,厨,くりや,X,X
1277,b訓読み,D,二梱,ふたこり,綿糸を二梱仕入れる。,二梱,ふたこり,X,X
1278,b訓読み,D,幾何,いくばく,余命幾何もない。,幾何,いくばく,X,X
1279,b訓読み,D,薄,すすき,薄が鬱蒼と茂る。,薄,すすき,X,X
1280,b訓読み,D,熱る,ほてる,運動して体が熱った。,熱,ほて,X,る
1281,b訓読み,D,朝凪,あさなぎ,朝凪の海で舟を漕ぐ。,朝凪,あさなぎ,X,X
1282,b訓読み,D,杯,さかずき,杯を酌み交わす。,杯,さかずき,X,X
1283,b訓読み,D,楯突く,たてつく,弟子が師に楯突く。,楯突,たてつ,X,く
1284,b訓読み,D,御伽噺,おとぎばなし,幼子に御伽噺を読む。,御伽噺,おとぎばなし,X,X
1285,b訓読み,D,畷,なわて,畷をひたすら歩く。,畷,なわて,X,X
1286,b訓読み,D,鮎汲み,あゆくみ,川で鮎汲みをする。,鮎汲,あゆく,X,み
1287,b訓読み,D,散,ばら,鉛筆を散で売る。,散,ばら,X,X
1288,b訓読み,D,隈,くま,山中を隈なく捜す。,隈,くま,X,X
1289,b訓読み,D,匪ず,あらず,我が心石に匪ず。,匪,あら,X,ず
1290,b訓読み,D,挽く,ひく,材木を鋸で挽き切る。,挽,ひ,X,く
1291,b訓読み,D,二俣,ふたまた,川が二俣に分かれる。,二俣,ふたまた,X,X
1292,b訓読み,D,釦,ぼたん,外套の釦を外す。,釦,ぼたん,X,X
1293,b訓読み,D,伝,つて,伝を頼って上京する。,伝,つて,X,X
1294,b訓読み,D,井桁,いげた,板を井桁に組む。,井桁,いげた,X,X
1295,b訓読み,D,幌,ほろ,幌をかけて走る。,幌,ほろ,X,X
1296,b訓読み,D,長柄,ながえ,長柄の柄杓で掬う。,長柄,ながえ,X,X
1297,b訓読み,D,縞鰺,しまあじ,縞鰺を三枚に下ろす。,縞鰺,しまあじ,X,X
1298,b訓読み,D,椋,むく,椋はなっても木は榎。,椋,むく,X,X
1299,b訓読み,D,私か,ひそか,私かに画策する。,私,ひそ,X,か
1300,b訓読み,D,剰え,あまつさえ,剰え、風も強くなる。,剰,あまつさ,X,え
1301,b訓読み,D,糾う,あざなう,縄を糾う。,糾,あざな,X,う
1302,b訓読み,D,徐,おもむろ,徐に口を開く。,徐,おもむろ,X,X
1303,b訓読み,D,錘,おもり,釣り糸に錘を付ける。,錘,おもり,X,X
1304,b訓読み,D,詳らか,つまびらか,全容を詳らかにする。,詳,つまび,X,らか
1305,b訓読み,D,燥ぐ,はしゃぐ,子供のように燥ぐ。,燥,はしゃ,X,ぐ
1306,b訓読み,D,准える,なぞらえる,人生を旅に准える。,准,なぞら,X,える
1307,b訓読み,D,姥目樫,うばめがし,姥目樫の実を拾う。,姥目樫,うばめがし,X,X
1308,b訓読み,D,煉る,ねる,緻密な作戦を煉る。,煉,ね,X,る
1309,b訓読み,D,鷺,さぎ,闇夜に烏、雪に鷺。,鷺,さぎ,X,X
1310,b訓読み,D,蔀戸,しとみど,夜に蔀戸を下ろす。,蔀戸,しとみど,X,X
1311,b訓読み,D,虎斑,とらふ,虎斑の猫が横切る。,虎斑,とらふ,X,X
1312,b訓読み,D,柾,まさき,柾の生け垣で囲む。,柾,まさき,X,X
1313,b訓読み,D,与する,くみする,いずれにも与しない。,与,くみ,X,する
1314,b訓読み,D,油凪,あぶらなぎ,風が止み油凪となる。,油凪,あぶらなぎ,X,X
1315,b訓読み,D,竿,さお,竿に釣り糸を付ける。,竿,さお,X,X
1316,b訓読み,D,榎茸,えのきだけ,榎茸を吸い物にする。,榎茸,えのきだけ,X,X
1317,b訓読み,D,筏形,いかだがた,筏形に花を生ける。,筏形,いかだがた,X,X
1318,b訓読み,D,逼る,せまる,敵軍が背後から逼る。,逼,せま,X,る
1319,b訓読み,D,鬱ぐ,ふさぐ,気分が鬱ぎ込む。,鬱,ふさ,X,ぐ
1320,b訓読み,D,姥,うば,尉と姥の置物を買う。,姥,うば,X,X
1321,c表外読み,A,頑,かたくな,頑に心を閉ざす。,頑,かたくな,X,X
1322,c表外読み,A,憾む,うらむ,事業の失敗を憾む。,憾,うら,X,む
1323,c表外読み,A,強か,したたか,転んで強かに腰を打った。,強,したた,X,か
1324,c表外読み,A,与する,くみする,慈善事業に与する。,与,くみ,X,する
1325,c表外読み,A,糾す,ただす,使途不明のゆくえを糾す。,糾,ただ,X,す
1326,c表外読み,A,論う,あげつらう,過去をあれこれ論う。,論,あげつら,X,う
1327,c表外読み,A,託ける,かこつける,お祭りに託けて大騒ぎする。,託,かこつ,X,ける
1328,c表外読み,A,見える,まみえる,バチカンでローマ法王に見える。,見,まみ,X,える
1329,c表外読み,A,態,わざ,態とらしい大げさな反応をする。,態,わざ,X,X
1330,c表外読み,A,約める,つづめる,約めて言えば、これが結論です。,約,つづ,X,める
1331,c表外読み,A,偏,ひとえ,偏に皆様のご協力のお陰です。,偏,ひとえ,X,X
1332,c表外読み,A,詰る,なじる,裏切り行為を知って激しく詰った。,詰,なじ,X,る
1333,c表外読み,A,労る,いたわる,お年寄りを労る心が大切だ。,労,いたわ,X,る
1334,c表外読み,A,擬える,なぞらえる,物語の主人公に擬える。,擬,なぞら,X,える
1335,c表外読み,A,件,くだん,件の儲け話はうさん臭い。,件,くだん,X,X
1336,c表外読み,A,長ける,たける,漢字の読み書きに長けている。,長,た,X,ける
1337,c表外読み,A,現,うつつ,夢物語に現をぬかす。,現,うつつ,X,X
1338,c表外読み,A,慮る,おもんぱかる,友人の立場を慮って対処する。,慮,おもんぱか,X,る
1339,c表外読み,A,具,つぶさ,事件を発端から具に調べる。,具,つぶさ,X,X
1340,c表外読み,A,遊ぶ,すさぶ,屋外は風が吹き遊んでいる。,遊,すさ,X,ぶ
1341,c表外読み,A,屯,たむろ,行き場を失って屯する。,屯,たむろ,X,X
1342,c表外読み,A,殉う,したがう,生死の掟に殉う。,殉,したが,X,う
1343,c表外読み,A,惨む,いたむ,戦禍の悲惨さに心が惨む。,惨,いた,X,む
1344,c表外読み,A,徐,おもむろ,内情を徐に明かした。,徐,おもむろ,X,X
1345,c表外読み,A,戦く,おののく,君主の暴虐ぶりに皆戦いた。,戦,おのの,X,く
1346,c表外読み,A,集る,たかる,蟻が残飯に集っている。,集,たか,X,る
1347,c表外読み,A,肖る,あやかる,芸能人に肖って同じ髪型にする。,肖,あやか,X,る
1348,c表外読み,A,台,うてな,蓮の台の半座を分かつ。,台,うてな,X,X
1349,c表外読み,A,革める,あらためる,悪い慣習は革めるべきだ。,革,あらた,X,める
1350,c表外読み,A,解す,ほぐす,気持ちが自然に解れた。,解,ほぐ,X,す
1351,c表外読み,A,扱く,しごく,師匠に扱かれて腕を上げる。,扱,しご,X,く
1352,c表外読み,A,尉,じょう,シテとして尉を担う。,尉,じょう,X,X
1353,c表外読み,A,括れる,くびれる,瓶の括れた部分を持つ。,括,くび,X,れる
1354,c表外読み,A,某,なにがし,参加には某かのお金が必要です。,某,なにがし,X,X
1355,c表外読み,A,閲する,けみする,膨大な資料を閲する。,閲,けみ,X,する
1356,c表外読み,A,垂,なんなん,工場設立から五十年に垂とする。,垂,なんなん,X,X
1357,c表外読み,A,概ね,おおむね,機械の調子は概ね良好です。,概,おおむ,X,ね
1358,c表外読み,A,殿,しんがり,大将が殿に控える。,殿,しんがり,X,X
1359,c表外読み,A,因,ちなみ,因に僕と彼女は兄妹です。,因,ちなみ,X,X
1360,c表外読み,A,緒,いとぐち,和解の緒が見つからない。,緒,いとぐち,X,X
1361,c表外読み,A,転た,うたた,転た慚愧の念に堪えない。,転,うた,X,た
1362,c表外読み,A,努努,ゆめゆめ,作り事だとは努努思わなかった。,努努,ゆめゆめ,X,X
1363,c表外読み,A,存える,ながらえる,何があっても生き存えてみせる。,存,ながら,X,える
1364,c表外読み,A,番,つがい,猫を一番で飼う。,番,つがい,X,X
1365,c表外読み,A,戻る,もとる,彼の行いは人の道に戻る。,戻,もと,X,る
1366,c表外読み,A,鈍,にび,父の作業着は鈍色だ。,鈍,にび,X,X
1367,c表外読み,A,妄り,みだり,妄りに信じてはいけない。,妄,みだ,X,り
1368,c表外読み,A,寡,やもめ,寡暮らしの父を気にかける。,寡,やもめ,X,X
1369,c表外読み,A,墾く,ひらく,祖父の時代に墾いた土地。,墾,ひら,X,く
1370,c表外読み,A,敵う,かなう,クラスで彼女に敵う者はいない。,敵,かな,X,う
1371,c表外読み,A,拐す,かどわかす,幼い子を拐すとは許せない。,拐,かどわか,X,す
1372,c表外読み,A,清か,さやか,星が庭を清かに照らす。,清,さや,X,か
1373,c表外読み,A,頭,こうべ,出世するほど頭を垂れて働く。,頭,こうべ,X,X
1374,c表外読み,A,都て,すべて,都てここに書いてある通りです。,都,すべ,X,て
1375,c表外読み,A,法る,のっとる,伝統に法って進められた。,法,のっと,X,る
1376,c表外読み,A,万,よろず,万承ります。,万,よろず,X,X
1377,c表外読み,A,予め,あらかじめ,予め資料を作成しておく。,予,あらかじ,X,め
1378,c表外読み,A,辛い,つらい,辛い貧困生活を堪え忍ぶ。,辛,つら,X,い
1379,c表外読み,A,団い,まるい,団くなって花見を楽しんだ。,団,まる,X,い
